epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
50,1292.57,0.45497,0.83752,0.99927,0.42669,0.000859204,0.000859204,0.000859204
51,1318.55,0.44849,0.83825,0.99898,0.42641,0.0008537,0.0008537,0.0008537
52,1344.47,0.43959,0.83592,0.99869,0.44615,0.000848108,0.000848108,0.000848108
53,1370.18,0.43917,0.84145,0.99942,0.41326,0.000842431,0.000842431,0.000842431
54,1396.15,0.44214,0.84523,0.99913,0.40349,0.00083667,0.00083667,0.00083667
55,1422.09,0.42968,0.84464,0.99927,0.41459,0.000830825,0.000830825,0.000830825
56,1448.01,0.42943,0.83752,0.99971,0.45244,0.000824899,0.000824899,0.000824899
57,1473.66,0.43013,0.84421,0.99927,0.42311,0.000818893,0.000818893,0.000818893
58,1499.61,0.42193,0.8506,0.99942,0.42032,0.000812809,0.000812809,0.000812809
59,1525.65,0.42791,0.84145,0.99956,0.43098,0.000806647,0.000806647,0.000806647
60,1551.03,0.42868,0.84726,0.99927,0.41272,0.00080041,0.00080041,0.00080041
61,1576.99,0.41487,0.84682,0.99942,0.41061,0.000794099,0.000794099,0.000794099
62,1602.98,0.41929,0.84784,0.99942,0.40853,0.000787715,0.000787715,0.000787715
63,1627.62,0.41276,0.85017,0.99942,0.40752,0.000781261,0.000781261,0.000781261
64,1653.6,0.41697,0.84871,0.99942,0.42097,0.000774737,0.000774737,0.000774737
65,1679.55,0.4102,0.84973,0.99927,0.40349,0.000768145,0.000768145,0.000768145
66,1704.44,0.40459,0.85264,0.99913,0.40506,0.000761488,0.000761488,0.000761488
67,1731.77,0.41085,0.84552,0.99927,0.40944,0.000754766,0.000754766,0.000754766
68,1757.96,0.40301,0.84043,0.99942,0.45609,0.000747982,0.000747982,0.000747982
69,1783.88,0.39805,0.85118,0.99913,0.42032,0.000741136,0.000741136,0.000741136
70,1809.24,0.40121,0.8554,0.99956,0.40944,0.000734231,0.000734231,0.000734231
