epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
32,318.55,0.67152,0.7237,0.99766,1.15048,0.000316622,0.000316622,0.000316622
33,328.096,0.66851,0.68706,0.99723,1.3384,0.000287823,0.000287823,0.000287823
34,337.667,0.66356,0.71677,0.99749,1.18775,0.000259864,0.000259864,0.000259864
35,347.413,0.66831,0.73107,0.99844,1.13428,0.000232855,0.000232855,0.000232855
36,357.752,0.65889,0.72007,0.99731,1.31517,0.000206901,0.000206901,0.000206901
37,367.991,0.6376,0.73341,0.99783,1.17759,0.000182107,0.000182107,0.000182107
38,378.162,0.6436,0.73419,0.99801,1.21514,0.000158569,0.000158569,0.000158569
39,388.423,0.63249,0.73064,0.99844,1.20659,0.00013638,0.00013638,0.00013638
40,398.431,0.62974,0.73739,0.9987,1.19735,0.000115629,0.000115629,0.000115629
41,410.99,0.61624,0.73445,0.99827,1.19659,9.6396e-05,9.6396e-05,9.6396e-05
42,421.919,0.62293,0.74025,0.99783,1.2109,7.87582e-05,7.87582e-05,7.87582e-05
43,432.278,0.61648,0.73826,0.99853,1.20198,6.27848e-05,6.27848e-05,6.27848e-05
44,442.792,0.61229,0.73436,0.99775,1.22529,4.85389e-05,4.85389e-05,4.85389e-05
45,454.27,0.61108,0.74043,0.99835,1.21765,3.60766e-05,3.60766e-05,3.60766e-05
46,464.913,0.6193,0.74077,0.99809,1.24304,2.54473e-05,2.54473e-05,2.54473e-05
47,475.262,0.60004,0.74103,0.99801,1.23382,1.66927e-05,1.66927e-05,1.66927e-05
48,485.642,0.60562,0.73965,0.99818,1.22104,9.84752e-06,9.84752e-06,9.84752e-06
49,496.136,0.60222,0.74103,0.99809,1.2303,4.93871e-06,4.93871e-06,4.93871e-06
50,506.463,0.60573,0.73973,0.99766,1.25096,1.98565e-06,1.98565e-06,1.98565e-06
1,15.108,1.75591,0.19832,0.83954,1.86031,0.0805882,0.000196078,0.000196078
2,26.6024,1.69682,0.24831,0.90963,1.74537,0.0607882,0.000396054,0.000396054
3,36.8724,1.60442,0.33149,0.92982,1.64729,0.0409881,0.000595932,0.000595932
4,46.9087,1.45729,0.3366,0.89439,2.73123,0.0211878,0.000795637,0.000795637
5,56.7189,1.27654,0.49385,0.98848,1.38035,0.00138725,0.000995097,0.000995097
6,66.6234,1.17472,0.49229,0.97444,1.57146,0.00099846,0.00099846,0.00099846
7,76.462,1.08736,0.53985,0.98501,1.57634,0.000997783,0.000997783,0.000997783
8,87.6566,1.05276,0.49584,0.95971,1.71268,0.000996983,0.000996983,0.000996983
9,97.5608,1.01835,0.56108,0.99523,1.29136,0.000996061,0.000996061,0.000996061
10,107.35,0.99477,0.61055,0.99593,1.29195,0.000995017,0.000995017,0.000995017
11,117.12,0.96022,0.56732,0.99333,1.16542,0.00099385,0.00099385,0.00099385
